t_s,pre_ms,infer_ms,post_ms,loop_fps,detections
1.37,21.2,1339.0,5.9,0.7,4
1.47,13.0,43.5,6.0,10.1,3
1.56,11.8,41.5,6.1,10.5,3
1.64,10.9,31.3,5.9,12.0,3
1.73,10.1,32.2,5.9,12.0,3
1.81,10.7,32.1,5.9,11.8,3
1.90,10.9,32.0,6.0,11.8,3
1.98,10.7,30.0,6.3,12.1,4
2.10,20.7,34.3,5.9,8.2,2
2.23,20.1,35.8,6.0,7.5,4
2.34,11.2,29.7,6.1,9.7,4
2.42,10.8,28.7,6.1,12.3,3
2.50,11.5,29.6,5.9,12.0,3
2.58,10.8,29.0,6.3,12.2,4
2.67,10.7,28.0,5.8,12.4,2
2.75,10.5,28.0,5.9,12.5,3
2.83,10.8,28.0,5.8,12.4,1
2.91,10.7,27.9,5.9,12.5,3
2.99,10.8,28.0,5.9,12.3,2
3.07,10.2,27.9,6.2,12.5,4
3.15,11.9,28.0,6.2,12.1,3
3.23,10.2,27.9,6.1,12.6,3
3.31,10.2,27.8,6.3,12.6,4
3.39,10.8,28.0,5.9,12.4,3
3.47,10.8,27.9,5.9,12.5,3
3.55,10.7,28.3,5.8,12.5,2
3.63,10.2,28.0,6.1,12.5,3
3.71,10.7,28.3,5.9,12.4,2
3.79,10.7,28.0,6.0,12.5,4
3.87,10.2,28.0,5.8,12.5,2
3.95,10.7,28.7,5.9,12.4,3
4.03,10.9,28.2,6.0,12.4,3
4.11,10.6,28.2,6.5,12.4,3
4.19,10.3,28.1,6.4,12.4,2
4.27,10.3,28.2,6.0,12.6,3
4.35,11.4,28.0,6.1,12.3,3
4.43,10.7,28.1,5.9,12.4,3
4.52,10.9,28.3,6.1,12.3,3
4.60,10.7,28.2,6.1,12.3,4
4.68,11.1,28.4,6.4,12.2,2
4.76,10.8,28.1,5.9,12.4,3
4.84,11.1,28.7,6.5,12.1,2
4.92,11.0,28.2,6.1,12.4,3
5.00,10.8,28.2,6.2,12.3,4
5.09,10.7,28.0,6.3,12.2,4
5.17,11.0,28.2,6.2,12.2,4
5.25,10.7,28.1,6.1,12.4,4
5.33,10.9,27.9,6.1,12.4,4
5.41,10.1,28.3,6.5,12.4,4
5.49,10.3,28.2,6.0,12.4,4
5.57,10.7,28.2,6.0,12.4,3
5.65,12.2,27.9,6.2,12.1,4
5.73,10.8,27.9,6.0,12.4,3
5.81,10.3,27.9,6.1,12.6,3
5.89,10.8,27.9,5.9,12.5,3
5.97,10.6,28.1,6.1,12.4,3
6.05,10.9,27.9,6.4,12.4,5
6.13,10.3,28.0,6.0,12.4,4
6.22,11.2,28.2,5.9,12.4,3
6.30,10.8,27.9,5.9,12.5,3
6.38,10.7,28.1,6.6,12.3,4
6.46,10.2,27.8,5.9,12.5,3
6.54,10.0,28.0,7.0,12.4,4
6.62,10.7,27.8,5.9,12.4,3
6.70,10.2,27.8,5.9,12.6,2
6.78,11.3,28.0,6.8,12.3,2
6.86,10.3,27.9,6.0,12.6,4
6.94,10.7,28.4,5.9,12.4,2
7.02,10.2,27.8,6.0,12.5,4
7.10,10.3,27.8,5.9,12.5,3
7.18,10.9,27.9,6.0,12.4,4
7.26,10.9,27.9,6.2,12.4,4
7.34,10.2,27.8,6.1,12.5,4
7.42,10.2,27.9,6.2,12.5,4
7.50,10.7,28.1,6.2,12.4,5
7.58,10.8,27.9,5.9,12.4,2
7.66,10.7,28.1,6.0,12.4,3
7.74,10.9,28.0,5.8,12.5,2
7.82,10.9,27.9,6.0,12.5,4
7.90,10.2,28.2,6.2,12.5,4
7.98,10.9,28.0,5.9,12.4,3
